var,scenario,varBinaryOriginal,varTypeTrans,varStatus,varMayRoundUp,varMayRoundDown,varMayIsActive,varIsDeletable,varIsRemovable,varObj,varPseudoSol,NLocksDown,NLocksUp,IsTransformed,multaggrConstant,varAggrScalar,varAggrConstant,varMultaggrNVars,varBestBound,varWorstBound,varBranchFactor,varBranchPriority,varBranchDirection,varNImpls0,varNImpls1,varGetNCliques0,varGetNCliques1,varConflictScore,varAvgInferenceScore,relaxSolVal,varImplRedcost0,varImplRedcost1,varPseudocostScore,equalToLb,equalToUb,target
x170,1664186741,1,0,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,1.00E-12,1.00E-12,0,0,0,1.00E-12,1,1,0
x171,1664186741,1,0,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,1.00E-12,1.00E-12,0,0,0,1.00E-12,1,1,0
x172,1664186741,1,0,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,1.00E-12,1.00E-12,0,0,0,1.00E-12,1,1,0
x173,1664186741,1,0,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,1.00E-12,1.00E-12,0,0,0,1.00E-12,1,1,0
x174,1664186741,1,0,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,1.00E-12,1.00E-12,0,0,0,1.00E-12,1,1,0
x175,1664186741,1,0,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,1.00E-12,1.00E-12,0,0,0,1.00E-12,1,1,0
x176,1664186741,1,0,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,1.00E-12,1.00E-12,0,0,0,1.00E-12,1,1,0
x177,1664186741,1,0,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,1.00E-12,1.00E-12,0,0,0,1.00E-12,1,1,0
x178,1664186741,1,0,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,1.00E-12,1.00E-12,0,0,0,1.00E-12,1,1,0
x179,1664186741,1,0,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,1.00E-12,1.00E-12,0,0,0,1.00E-12,1,1,0
x180,1664186741,1,0,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,1.00E-12,1.00E-12,0,0,0,1.00E-12,1,1,0
x181,1664186741,1,0,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,1.00E-12,1.00E-12,0,0,0,1.00E-12,1,1,0
x182,1664186741,1,0,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,1.00E-12,1.00E-12,0,0,0,1.00E-12,1,1,0
x183,1664186741,1,0,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,1.00E-12,1.00E-12,0,0,0,1.00E-12,1,1,0
x184,1664186741,1,0,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,1.00E-12,1.00E-12,0,0,0,1.00E-12,1,1,0
x185,1664186741,1,0,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,1.00E-12,1.00E-12,0,0,0,1.00E-12,1,1,0
